temp [C];R;;1 / T [K];ln R;;T [K];;ln Rntc/R0;beta
22;11420,02;;0,00338811;9,34312323;;295,15;;0,13;3894,92
23;10922,73;;0,00337667;9,29860122;;296,15;;0,09;3896,59
24;10449,83;;0,00336530;9,25434099;;297,15;;0,04;3898,25
25;10000,00;;0,00335402;9,21034037;;298,15;;0,00;
26;9572,00;;0,00334280;9,16659745;;299,15;;-0,04;3901,50
27;9164,66;;0,00333167;9,12311006;;300,15;;-0,09;3903,11
28;8776,88;;0,00332060;9,07987627;;301,15;;-0,13;3904,70
29;8407,62;;0,00330961;9,03689372;;302,15;;-0,17;3906,28
30;8055,91;;0,00329870;8,99416126;;303,15;;-0,22;3907,83
31;7720,81;;0,00328785;8,95167456;;304,15;;-0,26;3909,40
32;7401,47;;0,00327708;8,90943391;;305,15;;-0,30;3910,94
33;7097,06;;0,00326637;8,86743589;;306,15;;-0,34;3912,48
34;6806,81;;0,00325574;8,82567886;;307,15;;-0,38;3914,01
35;6530,00;;0,00324517;8,78416222;;308,15;;-0,43;3915,51
36;6265,93;;0,00323468;8,74288230;;309,15;;-0,47;3917,00
37;6013,95;;0,00322425;8,70183705;;310,15;;-0,51;3918,49
38;5773,46;;0,00321388;8,66102683;;311,15;;-0,55;3919,96
39;5543,87;;0,00320359;8,62044809;;312,15;;-0,59;3921,42
40;5324,63;;0,00319336;8,58009850;;313,15;;-0,63;3922,86
41;5115,22;;0,00318319;8,53997569;;314,15;;-0,67;3924,31
42;4915,16;;0,00317309;8,50007959;;315,15;;-0,71;3925,74
43;4723,99;;0,00316306;8,46040906;;316,15;;-0,75;3927,15
44;4541,26;;0,00315308;8,42095979;;317,15;;-0,79;3928,55
45;4366,57;;0,00314317;8,38173308;;318,15;;-0,83;3929,94
46;4199,51;;0,00313332;8,34272313;;319,15;;-0,87;3931,32
47;4039,72;;0,00312354;8,30393066;;320,15;;-0,91;3932,69
48;3886,85;;0,00311381;8,26535434;;321,15;;-0,94;3934,05
49;3740,57;;0,00310414;8,22699329;;322,15;;-0,98;3935,40
50;3600,55;;0,00309454;8,18884189;;323,15;;-1,02;3936,74
51;3466,50;;0,00308499;8,15090072;;324,15;;-1,06;3938,07
52;3338,15;;0,00307550;8,11317204;;325,15;;-1,10;3939,38
53;3215,21;;0,00306607;8,07564795;;326,15;;-1,13;3940,69
54;3097,43;;0,00305670;8,03832801;;327,15;;-1,17;3941,99
55;2984,58;;0,00304739;8,00121431;;328,15;;-1,21;3943,28
56;2876,42;;0,00303813;7,96430174;;329,15;;-1,25;3944,56
57;2772,74;;0,00302893;7,92759128;;330,15;;-1,28;3945,83
58;2673,33;;0,00301978;7,89108017;;331,15;;-1,32;3947,08
59;2577,99;;0,00301069;7,85476530;;332,15;;-1,36;3948,33
60;2486,54;;0,00300165;7,81864746;;333,15;;-1,39;3949,57
61;2398,81;;0,00299267;7,78272806;;334,15;;-1,43;3950,79
62;2314,61;;0,00298374;7,74699649;;335,15;;-1,46;3952,02
63;2233,80;;0,00297486;7,71145945;;336,15;;-1,50;3953,22
64;2156,22;;0,00296604;7,67611197;;337,15;;-1,53;3954,43
65;2081,73;;0,00295727;7,64095456;;338,15;;-1,57;3955,61
66;2010,18;;0,00294855;7,60597955;;339,15;;-1,60;3956,81
67;1941,46;;0,00293988;7,57119555;;340,15;;-1,64;3957,98
68;1875,43;;0,00293126;7,53659325;;341,15;;-1,67;3959,15
69;1811,98;;0,00292269;7,50217545;;342,15;;-1,71;3960,30
70;1751,00;;0,00291418;7,46794233;;343,15;;-1,74;3961,45
71;1692,37;;0,00290571;7,43388519;;344,15;;-1,78;3962,59
72;1636,00;;0,00289729;7,40000952;;345,15;;-1,81;3963,72
73;1581,79;;0,00288892;7,36631240;;346,15;;-1,84;3964,84
74;1529,64;;0,00288060;7,33278769;;347,15;;-1,88;3965,96
75;1479,48;;0,00287233;7,29944595;;348,15;;-1,91;3967,05
76;1431,20;;0,00286410;7,26626853;;349,15;;-1,94;3968,16
77;1384,74;;0,00285592;7,23326768;;350,15;;-1,98;3969,25
78;1340,02;;0,00284779;7,20043982;;351,15;;-2,01;3970,33
79;1296,96;;0,00283970;7,16777834;;352,15;;-2,04;3971,40
80;1255,50;;0,00283166;7,13528918;;353,15;;-2,08;3972,47
81;1215,57;;0,00282366;7,10296838;;354,15;;-2,11;3973,52
82;1177,10;;0,00281571;7,07080907;;355,15;;-2,14;3974,57
83;1140,04;;0,00280781;7,03881863;;356,15;;-2,17;3975,61
84;1104,33;;0,00279994;7,00699410;;357,15;;-2,20;3976,64
85;1069,91;;0,00279213;6,97532981;;358,15;;-2,24;3977,66
86;1036,73;;0,00278435;6,94382681;;359,15;;-2,27;3978,68
87;1004,73;;0,00277662;6,91247413;;360,15;;-2,30;3979,71
88;973,89;;0,00276893;6,88129836;;361,15;;-2,33;3980,70
89;944,13;;0,00276129;6,85026387;;362,15;;-2,36;3981,71
90;915,43;;0,00275368;6,81939390;;363,15;;-2,39;3982,70
91;887,74;;0,00274612;6,78867891;;364,15;;-2,42;3983,68
92;861,02;;0,00273860;6,75811773;;365,15;;-2,45;3984,66
93;835,24;;0,00273112;6,72771911;;366,15;;-2,48;3985,62
94;810,35;;0,00272368;6,69746625;;367,15;;-2,51;3986,58
95;786,32;;0,00271628;6,66736383;;368,15;;-2,54;3987,53
96;763,11;;0,00270893;6,63740219;;369,15;;-2,57;3988,49
97;740,71;;0,00270161;6,60760919;;370,15;;-2,60;3989,42
98;719,06;;0,00269433;6,57794480;;371,15;;-2,63;3990,36
99;698,15;;0,00268709;6,54843398;;372,15;;-2,66;3991,30
100;677,95;;0,00267989;6,51907354;;373,15;;-2,69;3992,21
101;658,43;;0,00267272;6,48985821;;374,15;;-2,72;3993,12
102;639,56;;0,00266560;6,46078044;;375,15;;-2,75;3994,04
103;621,33;;0,00265851;6,43186234;;376,15;;-2,78;3994,92
104;603,69;;0,00265146;6,40306082;;377,15;;-2,81;3995,83
105;586,64;;0,00264445;6,37441134;;378,15;;-2,84;3996,73
106;570,16;;0,00263748;6,34591702;;379,15;;-2,86;3997,59
107;554,21;;0,00263054;6,31754368;;380,15;;-2,89;3998,47
108;538,78;;0,00262364;6,28930732;;381,15;;-2,92;3999,35
109;523,85;;0,00261677;6,26120538;;382,15;;-2,95;4000,22
110;509,41;;0,00260994;6,23325319;;383,15;;-2,98;4001,07
111;495,43;;0,00260315;6,20542607;;384,15;;-3,00;4001,93
112;481,90;;0,00259639;6,17773662;;385,15;;-3,03;4002,77
113;468,80;;0,00258967;6,15017624;;386,15;;-3,06;4003,62
114;456,12;;0,00258298;6,12275593;;387,15;;-3,09;4004,45
115;443,84;;0,00257632;6,09546414;;388,15;;-3,11;4005,28
116;431,95;;0,00256970;6,06830984;;389,15;;-3,14;4006,09
117;420,43;;0,00256312;6,04127800;;390,15;;-3,17;4006,91
118;409,27;;0,00255656;6,01437508;;391,15;;-3,20;4007,72
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
